Year,Population,kWh/person/yr,Total kWh/yr,MWh/yr (people),GWh/yr,MWh/yr (DC)
2001,"189,664","11,032.00","2,092,373,248","2,092,373.25","2,092.37",772211.52
2002,"203,042","11,064.00","2,246,456,688","2,246,456.69","2,246.46",772211.52
2003,"219,531","11,096.00","2,435,915,976","2,435,915.98","2,435.92",772211.52
2004,"237,020","11,128.00","2,637,558,560","2,637,558.56","2,637.56",772211.52
2005,"253,152","11,160.00","2,825,176,320","2,825,176.32","2,825.18",772211.52
2006,"264,993","11,192.00","2,965,801,656","2,965,801.66","2,965.80",807251.52
2007,"277,232","11,224.00","3,111,651,968","3,111,651.97","3,111.65",2345177.093
2008,"289,784","11,256.00","3,261,808,704","3,261,808.70","3,261.81",2360594.693
2009,"300,535","11,288.00","3,392,439,080","3,392,439.08","3,392.44",2360594.693
2010,"315,486","11,320.00","3,571,301,520","3,571,301.52","3,571.30",3460885.733
2011,"326,357","11,352.00","3,704,804,664","3,704,804.66","3,704.81",4316004.276
2012,"337,902","11,384.00","3,846,676,368","3,846,676.37","3,846.68",4316004.276
2013,"350,001","11,416.00","3,995,611,416","3,995,611.42","3,995.61",6749110.394
2014,"362,330","11,448.00","4,147,953,840","4,147,953.84","4,147.95",6749110.394
2015,"374,176","11,480.00","4,295,540,480","4,295,540.48","4,295.54",6749110.394
2016,"385,750","11,512.00","4,440,754,000","4,440,754.00","4,440.75",9207740.84
2017,"397,192","11,544.00","4,585,184,448","4,585,184.45","4,585.18",10179568.23
2018,"405,964","11,576.00","4,699,439,264","4,699,439.26","4,699.44",15723313.63
2019,"414,872","11,608.00","4,815,834,176","4,815,834.18","4,815.83",26590043.94
2020,"422,723","11,640.00","4,920,495,720","4,920,495.72","4,920.50",27951586.21
2021,"428,827","11,672.00","5,005,268,744","5,005,268.74","5,005.27",33796426.27
2022,"432,897","11,704.00","5,066,626,488","5,066,626.49","5,066.63",43806273.07
2023,"437,164","11,736.00","5,130,556,704","5,130,556.70","5,130.56",51760990.03
2024,"443,380","11,768.00","5,217,695,840","5,217,695.84","5,217.70",54429101.16
2025,"455,193","11,800.00","5,371,277,400","5,371,277.40","5,371.28",56864273.51