Year,Water Consumption (Billion Gallons),Gallons/yr (people),Gallons/yr (DC),,
2001,6.88,6880000000,1042000264,,
2002,7.32,7320000000,1042000264,,
2003,7.87,7870000000,1042000264,,
2004,8.45,8450000000,1042000264,,
2005,8.97,8970000000,1042000264,,
2006,9.28,9280000000,1390201585,,
2007,9.63,9630000000,2086951387,,
2008,9.99,9990000000,2435499868,,
2009,10.17,10170000000,2435499868,,
2010,10.42,10420000000,3133291149,,
2011,10.61,10610000000,4180498811,,
2012,10.86,10860000000,4180498811,,
2013,11.12,11120000000,4879331572,,
2014,11.39,11390000000,4879331572,,
2015,11.72,11720000000,4879331572,,
2016,11.99,11990000000,6279080053,,
2017,12.26,12260000000,7679522853,,
2018,12.3,12300000000,11882934214,,
2019,12.47,12470000000,19242549273,,
2020,12.69,12690000000,21346337913,,
2021,12.75,12750000000,25205193131,,
2022,12.79,12790000000,31171829326,,
2023,12.88,12880000000,37141416380,,
2024,13.14,13140000000,38898045178,,
2025,13.52,13520000000,41866261823,,
,,,,,
,,,,, 